i_new,revenu,Unnamed:_2,Freq_Nombre_de_Jours_sans_pluie,nbjour,nbjsp,uc1,revenu,revenu,nbpers,nenf,naa,nana,jardin,Piscine_1__oui,Assainissement_Collectif_1__oui,NonAssaini,maison,retraité_1__oui,proprio_1__oui,id_projet,SNWA,Garden_Weather,UC_Oxford,UC_OCDE,Niveau_vie_Oxford,Niveau_vie_OCDE
305,1439.6378092716348,305,0.6265060240963856,83,52,1.0,4,560,1,0,0,1,1,0,0,1,1,1,1,1,1.0,0.6265060240963856,1.0,1.0,,
40,1180.080987351578,40,0.4481132075471698,212,95,2.4,3,1217,3,0,0,3,1,0,0,1,1,0,0,1,1.0,0.4481132075471698,2.4,2.0,,
342,4227.432439952631,342,0.7409326424870466,193,143,1.7,2,3564,2,0,0,2,1,0,0,1,1,1,1,1,1.0,0.7409326424870466,1.7,1.5,,
219,726.32043397951,219,0.36065573770491804,61,22,2.7,3,1093,4,2,1,1,1,0,0,1,1,0,1,1,0.5,0.36065573770491804,2.7,2.1,,
156,424.60230121500945,156,0.6018518518518519,108,65,2.9,3,1170,4,1,1,2,1,0,0,1,1,0,1,1,0.6666666666666666,0.6018518518518519,2.9,2.3,,
200,3519.342358983532,200,0.42483660130718953,153,65,2.4,1,2067,3,0,2,1,0,0,1,0,0,0,0,1,0.3333333333333333,0.0,2.4,2.0,,
173,1784.8917568207346,173,0.7630057803468208,173,132,1.7,4,560,2,0,0,2,1,0,1,0,0,1,0,1,1.0,0.7630057803468208,1.7,1.5,,
102,5561.198631784705,102,0.7636363636363637,55,42,1.7,6,4603,2,0,1,1,1,1,1,0,1,0,1,1,0.5,0.7636363636363637,1.7,1.5,,
405,4047.9337085618454,405,0.75177304964539,141,106,2.7,1,2294,4,2,2,0,1,0,1,0,0,0,0,1,0.0,0.75177304964539,2.7,2.1,,
31,911.6062618396884,31,0.8804347826086957,184,162,1.7,1,2058,2,0,0,2,1,0,0,1,1,1,1,1,1.0,0.8804347826086957,1.7,1.5,,
73,1592.1766889830883,73,0.7784090909090909,176,137,2.0,4,426,3,2,0,1,0,0,1,0,0,0,0,1,1.0,0.0,2.0,1.6,,
169,1738.8678521815389,169,0.5108695652173914,184,94,2.4,1,2035,3,0,2,1,1,0,0,1,1,0,1,1,0.3333333333333333,0.5108695652173914,2.4,2.0,,
141,1519.0823541225343,141,0.4375,176,77,1.5,3,1110,2,1,1,0,1,0,0,1,1,0,1,1,0.0,0.4375,1.5,1.3,,
356,1648.0559692558204,356,0.6892655367231638,177,122,1.7,1,2067,2,0,1,1,1,0,0,1,1,0,1,1,0.5,0.6892655367231638,1.7,1.5,,
382,1643.6011085337962,382,0.6505376344086021,186,121,1.7,6,1587,2,0,1,1,0,0,0,1,0,1,0,1,0.5,0.0,1.7,1.5,,
56,829.3500056791179,56,0.47641509433962265,212,101,3.6,4,426,5,1,0,4,1,0,0,1,1,0,1,1,1.0,0.47641509433962265,3.5999999999999996,2.8,,
370,678.677102350341,370,0.5081081081081081,185,94,1.5,4,548,2,1,1,0,0,0,1,0,0,0,0,1,0.0,0.0,1.5,1.3,,
288,1223.0649810716377,288,0.3241758241758242,182,59,2.4,4,593,3,0,2,1,1,0,0,1,1,0,1,1,0.3333333333333333,0.3241758241758242,2.4,2.0,,
435,520.239887659236,435,0.43478260869565216,184,80,1.7,7,7374,2,0,1,1,0,0,1,0,0,0,0,1,0.5,0.0,1.7,1.5,,
83,794.9181803922833,83,0.2786885245901639,183,51,1.7,5,1587,2,0,0,2,1,0,0,1,0,1,1,1,1.0,0.2786885245901639,1.7,1.5,,
78,1666.8348602070075,78,0.6966292134831461,178,124,3.9,1,2035,6,3,2,1,0,0,0,1,0,0,0,1,0.3333333333333333,0.0,3.9,2.9,,
133,429.6333886608404,133,0.653179190751445,173,113,2.7,2,3550,4,2,1,1,1,0,1,0,1,0,1,1,0.5,0.653179190751445,2.7,2.1,,
228,1099.712776447346,228,0.5737704918032787,61,35,3.7,3,1093,6,4,0,2,1,0,0,1,1,0,0,1,1.0,0.5737704918032787,3.7,2.7,,
