i_new,Revenu_Imputé_2,Unnamed: 2,Freq Nombre de Jours sans pluie,nbjour,nbjsp,uc1,revenu,Revenu imputé,nbpers,nenf,naa (Nombre d'adultes actifs),nana (Nombre d'adultes non actifs),jardin (1 = oui),Piscine (1 = oui),Assainissement Collectif (1 = oui),NonAssaini,maison (1 = oui),retraité (1 = oui),proprio (1 = oui),id_projet
1,226.8763610136325,1,0.2727272727272727,99,27,2.7,1,2187,4,2,2,0,1,0,0,1,1,0,1,1
2,840.2123494014184,2,0.3277310924369748,119,39,2.7,1,2187,4,2,2,0,1,0,0,1,1,0,1,1
3,1756.3742302036542,3,0.5192307692307693,52,27,2.7,1,2187,4,2,2,0,1,0,0,1,1,0,1,1
4,2502.8494183130338,4,0.7650273224043715,183,140,5.3,3,1093,8,3,1,4,0,0,1,0,0,0,0,1
5,1293.3174051673914,5,0.8057142857142857,175,141,5.3,3,1093,8,3,1,4,0,0,1,0,0,0,0,1
6,2146.2463432499385,6,0.8054054054054054,185,149,5.3,3,1093,8,3,1,4,0,0,1,0,0,0,0,1
7,6463.649119675464,7,1.1415094339622642,106,89,1.7,7,7374,2,0,1,1,1,0,0,1,1,0,0,1
8,10383.062495687187,8,0.6326530612244898,98,62,1.7,7,7374,2,0,1,1,1,0,0,1,1,0,0,1
9,6181.2073448151805,9,0.6538461538461539,78,51,1.7,7,7374,2,0,1,1,1,0,0,1,1,0,0,1
10,1386.2490102750019,10,0.2967032967032967,91,27,3.1,1,2058,4,0,2,2,1,0,0,1,1,1,1,1
11,1468.3470457922035,11,0.5108695652173914,92,47,3.1,1,2058,4,0,2,2,1,0,0,1,1,1,1,1
12,6238.997756591493,12,0.37362637362637363,91,34,3.1,1,2058,4,0,2,2,1,0,0,1,1,1,1,1
13,3087.8638682867445,13,0.7569444444444444,144,109,1.7,2,3705,2,0,2,0,1,0,0,1,1,0,0,1
14,2364.3833837507655,14,0.6289592760180995,221,139,1.7,2,3705,2,0,2,0,1,0,0,1,1,0,0,1
15,6052.222485486975,15,0.46226415094339623,212,98,1.7,2,3705,2,0,2,0,1,0,0,1,1,0,0,1
16,1616.0685622531275,16,0.7553191489361702,94,71,2.7,1,2146,4,2,2,0,1,0,0,1,1,0,0,1
17,4208.714640359627,17,0.6986301369863014,73,51,2.7,1,2146,4,2,2,0,1,0,0,1,1,0,0,1
